unique_cards,stats_cost_ratio,spell,minion,hero,weapon,pirate,elemental,demon,totem,dragon,murloc,mechanical,beast,class_card,cost_1_or_less,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7_or_more,no_of_high_rules,no_of_medium_rule,no_of_low_rule,average_card_winrate
16,2.0625,22,8,0,0,0,0,0,0,0,0,0,2,27,2,13,6,7,0,0,2,1919,0,1,54.50037864906996,60.17
16,2.375,26,4,0,0,0,0,0,0,0,0,0,0,29,2,9,6,9,2,0,2,1919,0,1,54.16873362303789,60.03
16,2.0,23,7,0,0,0,0,0,0,0,0,0,2,27,2,11,6,9,0,0,2,1919,0,1,54.4613861269605,60.0
17,1.6666666666666667,23,7,0,0,0,0,0,0,0,0,0,2,27,2,10,6,9,0,1,2,1919,0,1,54.50135818801161,59.27
17,1.8461538461538463,24,6,0,0,0,0,0,0,0,0,0,1,28,2,10,7,9,0,0,2,1919,0,1,54.10944644717162,59.17
17,1.7777777777777777,20,10,0,0,0,0,0,0,0,0,0,0,26,2,7,9,7,2,1,2,1919,0,0,54.683255916055444,59.1
16,1.8125,22,8,0,0,0,0,0,0,0,0,0,4,25,2,11,6,9,0,0,2,1919,0,1,54.6216535293686,58.93
17,1.875,21,9,0,0,0,0,0,0,0,0,0,0,26,2,8,8,7,2,1,2,1919,0,1,54.72622162970039,58.85
17,1.875,21,9,0,0,0,0,0,0,0,0,0,0,26,2,7,8,8,2,1,2,1919,0,0,54.77525561043847,58.81
16,1.6111111111111112,22,8,0,0,0,0,0,0,0,0,0,2,25,2,9,8,9,0,0,2,1919,0,1,54.675290154566454,58.76
17,1.8571428571428572,23,7,0,0,0,0,0,0,0,0,0,3,26,2,11,6,9,0,0,2,1919,0,1,54.465133668703444,58.71
16,2.2142857142857144,22,8,0,0,0,0,0,0,0,0,0,2,25,4,11,6,7,0,0,2,1919,0,1,53.93755992734246,58.69
16,2.1875,19,11,0,0,0,0,0,0,0,0,2,2,24,6,11,6,4,1,0,2,511,0,0,54.69374356429692,58.67
17,1.8275862068965518,18,12,0,0,0,0,0,0,0,0,0,2,20,3,9,8,7,0,1,2,1919,0,0,54.5815166674919,58.61
16,1.5625,24,6,0,0,0,0,0,0,0,0,0,2,27,2,10,6,9,0,1,2,1919,0,1,54.25208845722373,58.56
16,1.9285714285714286,22,8,0,0,0,0,0,0,0,0,0,2,25,4,11,6,7,0,0,2,1919,0,1,54.465831380707634,58.53
16,1.5454545454545454,18,12,0,0,0,0,0,0,0,0,0,2,21,4,6,9,5,2,2,2,1023,0,0,54.65788026180276,58.52
18,1.826086956521739,21,9,0,0,0,0,0,0,0,0,0,2,25,3,10,5,10,0,0,2,1023,0,1,54.10515031477018,58.51
17,1.5555555555555556,21,9,0,0,0,0,0,0,0,0,0,2,24,4,8,8,7,1,0,2,1919,0,0,54.44319566426041,58.42
17,1.6229508196721312,17,13,0,0,0,0,0,0,0,0,2,0,28,3,8,5,3,4,2,5,511,0,0,54.41508491778311,58.41
16,2.0833333333333335,24,6,0,0,0,0,0,0,0,0,0,2,27,2,11,6,9,0,0,2,1919,0,1,54.14879228179006,58.28
16,1.8333333333333333,20,10,0,0,0,0,0,0,0,0,0,0,25,2,7,8,7,2,2,2,1919,0,0,54.72526844880306,58.27
16,1.9473684210526316,22,8,0,0,0,0,0,0,0,0,0,2,24,2,10,6,9,1,0,2,1919,0,1,53.975530972783496,58.26
16,1.6875,22,8,0,0,0,0,0,0,0,0,0,2,25,2,11,6,9,0,0,2,1919,0,1,54.49280344985918,58.26
15,1.8571428571428572,14,16,0,0,0,0,0,0,0,0,0,4,18,6,14,8,2,0,0,0,127,0,0,53.93817867941636,58.26
16,2.3,24,6,0,0,0,0,0,0,0,0,0,0,27,4,9,6,9,0,0,2,1919,0,1,54.25149604774035,58.25
17,1.6734693877551021,15,15,0,0,0,0,0,0,0,0,0,4,17,4,8,8,5,1,2,2,1023,0,0,54.62429571207754,58.14
16,1.8,25,5,0,0,0,0,0,0,0,0,0,2,27,2,11,6,9,0,0,2,1919,0,1,53.96401911760591,58.03
20,1.4186046511627908,20,8,1,1,0,2,0,0,0,0,0,0,25,5,1,3,9,2,4,6,3,0,1,52.920790827235784,58.02
18,1.8,20,10,0,0,0,0,0,0,0,0,2,2,24,4,8,8,7,1,0,2,1919,0,0,53.99984399162684,58.0
16,1.9166666666666667,24,6,0,0,0,0,0,0,0,0,0,2,27,2,11,6,9,0,0,2,1919,0,1,54.308613808038295,57.99
17,1.875,21,9,0,0,0,0,0,0,0,0,0,0,26,2,8,8,7,2,1,2,1919,0,0,54.67011700609927,57.95
16,1.8333333333333333,24,6,0,0,0,0,0,0,0,0,0,2,26,2,11,6,9,0,0,2,1919,0,1,54.243023216585335,57.83
17,1.6,16,14,0,0,0,0,0,0,0,0,2,0,21,6,10,6,6,0,2,0,255,0,1,53.542274917758604,57.83
17,2.0476190476190474,18,12,0,0,0,0,0,0,0,0,2,2,23,6,11,6,4,2,0,1,511,0,0,54.97242597646779,57.83
16,1.75,24,6,0,0,0,0,0,0,0,0,0,3,26,2,11,6,9,0,0,2,1919,0,1,54.21586393791556,57.78
16,2.0833333333333335,24,6,0,0,0,0,0,0,0,0,0,2,27,2,11,6,9,0,0,2,1919,0,1,54.1970409877229,57.76
17,1.7333333333333334,23,7,0,0,0,0,0,0,0,0,0,2,27,2,10,7,9,0,0,2,1919,0,1,54.32175271799447,57.73
17,1.8275862068965518,20,10,0,0,0,0,0,0,0,0,0,0,26,2,7,8,7,3,1,2,1919,0,0,54.99418270406496,57.71
17,1.7857142857142858,23,7,0,0,0,0,0,0,0,0,0,2,26,2,11,6,9,0,0,2,1919,0,1,54.40070862894874,57.7
17,2.0,23,7,0,0,0,0,0,0,0,0,0,2,26,2,11,6,9,0,0,2,1919,0,1,54.24531348956952,57.63
16,1.6153846153846154,24,6,0,0,0,0,0,0,0,0,0,2,27,2,10,7,9,0,0,2,1919,0,1,54.072482987206584,57.62
16,2.25,22,8,0,0,0,0,0,0,0,0,2,0,25,6,9,6,7,0,0,2,1919,0,1,54.395648976708905,57.6
16,1.875,25,5,0,0,0,0,0,0,0,0,0,2,28,2,11,6,7,2,0,2,1023,0,1,54.262386085223575,57.54
16,1.5,23,7,0,0,0,0,0,0,0,0,0,2,25,2,9,8,9,0,0,2,1919,0,1,54.426020423778574,57.49
18,1.595959595959596,2,27,1,0,0,5,0,0,2,0,0,0,9,4,1,10,4,5,0,6,0,0,0,50.35190839502668,57.46
16,1.9285714285714286,22,8,0,0,0,0,0,0,0,0,2,2,25,4,11,6,7,0,0,2,1919,0,1,54.45276673700684,57.45
16,1.8,25,5,0,0,0,0,0,0,0,0,0,2,27,2,10,7,9,0,0,2,1919,0,1,54.09459585817338,57.44
17,1.3333333333333333,15,15,0,0,0,0,0,0,0,0,5,2,18,4,8,9,6,2,0,1,511,0,0,54.36926461621833,57.4
17,2.0,24,6,0,0,0,0,0,0,0,0,0,2,27,2,11,6,9,0,0,2,1919,0,1,54.2528273978806,57.38
16,1.5555555555555556,21,9,0,0,0,0,0,0,0,0,0,2,23,4,8,8,7,1,0,2,1919,0,0,54.613394927568315,57.36
16,2.0625,22,8,0,0,0,0,0,0,0,0,0,2,27,2,11,6,9,0,0,2,1919,0,1,54.71065585774838,57.28
16,1.8181818181818181,24,6,0,0,0,0,0,0,0,0,1,2,26,3,10,6,9,0,0,2,1919,0,1,54.23655914607389,57.25
16,2.375,26,4,0,0,0,0,0,0,0,0,0,0,29,4,9,6,9,0,0,2,1919,0,1,53.714147072651784,57.25
16,1.7,24,6,0,0,0,0,0,0,0,0,1,2,27,2,10,6,9,0,0,3,1919,0,1,54.17442585717508,57.23
17,1.9285714285714286,24,5,1,0,0,2,0,0,0,0,1,0,27,6,2,4,8,3,4,3,1,0,1,50.935911210320896,57.22
16,1.8181818181818181,24,6,0,0,0,0,0,0,0,0,0,2,26,3,10,6,9,0,0,2,1919,0,1,54.24309146792429,57.2
19,1.5,20,8,1,1,0,2,0,0,0,0,0,0,25,5,1,2,10,2,4,6,3,0,1,52.831533920452095,57.17
17,1.6363636363636365,24,6,0,0,0,0,0,0,0,0,1,1,25,17,4,2,2,0,3,2,0,0,1,52.27083126207904,57.14
16,1.8125,22,8,0,0,0,0,0,0,0,0,0,4,25,2,13,6,7,0,0,2,1919,0,1,54.41137632069019,57.14
