unique_cards,stats_cost_ratio,spell,minion,hero,weapon,pirate,elemental,demon,totem,dragon,murloc,mechanical,beast,class_card,cost_1_or_less,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7_or_more,no_of_high_rules,no_of_medium_rule,no_of_low_rule,average_card_winrate
17,1.5274725274725274,3,27,0,0,0,0,0,0,0,0,21,2,12,2,10,7,4,4,2,1,0,0,0,55.636204099185825,63.32
17,1.96875,13,15,1,1,0,0,0,0,0,0,0,15,28,11,4,7,4,2,2,0,3,7,1,52.037230481982746,61.12
17,2.032258064516129,14,13,1,2,0,0,0,0,0,0,0,13,28,8,7,7,4,1,3,0,3,7,1,52.27010372091579,60.59
17,2.032258064516129,15,13,1,1,0,0,0,0,0,0,0,13,28,9,5,8,4,1,3,0,3,7,1,52.24100205862615,60.22
17,1.76,15,12,1,2,0,0,0,0,0,0,0,12,28,7,6,8,4,1,3,1,0,4,1,52.91978694168391,59.95
20,1.7604166666666667,6,21,1,2,0,1,0,0,0,0,3,5,18,6,1,9,4,5,1,4,3,4,0,54.95778740931429,59.8
16,0.0,24,0,1,5,0,0,0,0,0,0,0,0,30,6,8,8,2,0,5,1,3,7,1,50.39144616307015,59.8
21,2.0454545454545454,17,10,2,1,0,0,0,0,0,0,0,10,27,5,10,6,3,2,3,1,3,6,1,52.76349733435565,59.69
18,2.1379310344827585,13,14,1,2,0,0,0,0,0,0,0,14,26,10,7,7,3,1,2,0,3,7,1,51.56862293622992,59.42
15,2.0,10,18,0,2,0,0,0,0,0,0,0,16,24,8,6,8,4,4,0,0,1,5,1,50.83786537246443,59.38
16,1.9444444444444444,13,14,1,2,0,0,0,0,0,0,0,14,28,10,5,8,2,2,3,0,3,7,1,51.92460470092094,59.38
15,1.9130434782608696,10,16,0,4,0,0,0,0,0,0,0,14,26,6,8,8,4,2,2,0,1,4,1,51.94590165432448,59.28
18,2.08,15,12,1,2,0,0,0,0,0,0,0,12,28,10,6,8,3,1,2,0,3,7,1,51.73765645808019,59.27
18,0.0,25,0,2,3,0,0,0,0,0,0,0,0,30,5,8,6,2,2,5,2,3,7,1,50.696925301960604,59.26
17,2.032258064516129,14,13,1,2,0,0,0,0,0,0,0,13,28,10,4,7,4,2,3,0,3,7,1,52.515493891789966,59.22
18,1.8775510204081634,9,18,1,2,0,0,0,0,0,0,0,12,27,4,7,10,5,2,2,0,3,6,1,50.76502797795826,59.21
21,1.78125,6,21,1,2,0,1,0,0,0,0,3,5,17,6,1,9,4,5,1,4,3,4,0,54.90410533437723,59.2
17,1.4803921568627452,2,28,0,0,0,0,0,0,0,0,23,0,12,4,8,4,5,3,5,1,0,1,0,55.73574596070446,59.13
16,1.8717948717948718,13,15,0,2,0,0,0,0,0,0,0,15,27,8,6,9,3,2,2,0,1,5,1,52.33410945137164,59.09
18,1.4835164835164836,5,25,0,0,0,0,0,0,0,0,17,0,14,4,8,5,5,4,3,1,0,1,0,55.93447782914789,59.07
21,1.78125,6,21,1,2,0,0,0,0,0,0,3,5,17,6,1,9,4,5,1,4,3,4,0,54.66491051439554,59.06
20,1.8674698795180722,8,19,1,2,0,1,0,0,0,0,3,4,20,6,1,10,4,5,1,3,3,4,0,54.668359502107705,59.02
