unique_cards,stats_cost_ratio,spell,minion,hero,weapon,pirate,elemental,demon,totem,dragon,murloc,mechanical,beast,class_card,cost_1_or_less,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7_or_more,no_of_high_rules,no_of_medium_rule,no_of_low_rule,average_card_winrate
18,1.8615384615384616,9,21,0,0,0,2,0,0,0,0,2,6,19,9,0,15,0,4,0,2,32,0,0,49.9111492298451,60.42
18,1.7945205479452055,7,23,0,0,0,2,0,0,0,0,2,7,17,10,0,13,0,5,0,2,32,0,0,50.130298787154,60.34
20,1.7826086956521738,9,21,0,0,0,2,0,0,0,0,2,5,19,9,0,14,0,5,0,2,32,0,0,49.671300556711095,59.93
18,1.613861386138614,4,25,1,0,0,8,0,0,0,0,1,4,14,4,0,11,0,6,0,9,32,1,0,52.05540284468751,59.85
18,1.8548387096774193,10,20,0,0,0,2,0,0,0,0,2,6,19,10,0,14,0,4,0,2,32,0,0,49.787228966545136,59.44
19,1.606060606060606,4,25,1,0,0,8,0,0,0,0,1,5,14,4,0,12,0,5,0,9,32,1,0,51.455426356864336,59.43
17,1.7733333333333334,7,23,0,0,0,2,0,0,0,0,2,6,17,10,0,12,0,6,0,2,32,0,0,49.84414149058459,59.03
18,1.8,9,21,0,0,0,2,0,0,0,0,0,7,19,10,0,14,0,4,0,2,32,0,0,50.03216420835067,58.84
17,1.8194444444444444,8,22,0,0,0,2,0,0,0,0,2,6,17,10,0,12,0,6,0,2,32,0,0,49.9866202159432,58.76
17,1.8428571428571427,8,22,0,0,0,2,0,0,0,0,2,6,18,10,0,13,0,5,0,2,32,0,0,49.65565090179029,58.75
18,1.6666666666666667,6,23,1,0,0,7,0,0,1,0,0,4,16,4,0,11,0,6,0,9,32,0,0,51.02760734532364,58.68
18,1.8615384615384616,9,21,0,0,0,2,0,0,0,0,2,6,19,10,0,14,0,4,0,2,32,0,0,49.80497289521731,58.56
18,1.8194444444444444,8,22,0,0,0,2,0,0,0,0,2,6,17,10,0,12,0,6,0,2,32,0,0,49.79391617419067,58.2
20,1.6063829787234043,5,24,1,0,0,6,0,0,1,0,1,4,16,5,0,10,0,7,0,8,32,1,0,50.989149989290055,58.19
19,1.576086956521739,5,24,1,0,0,7,0,0,0,0,1,5,15,4,0,12,0,6,0,8,32,1,0,51.181230972682364,58.15
19,1.8,9,21,0,0,0,2,0,0,0,0,0,7,19,10,0,14,0,4,0,2,32,0,0,50.0757529614119,58.14
19,1.6326530612244898,5,24,1,0,0,7,0,0,1,0,1,4,15,4,0,11,0,6,0,9,32,1,0,51.270769867610845,58.08
17,2.129032258064516,17,12,0,1,0,2,0,0,0,0,0,0,27,4,11,10,4,0,1,0,0,0,0,45.58610139215811,58.07
18,1.7281553398058251,4,25,1,0,0,7,0,0,0,0,1,6,14,4,0,10,0,7,0,9,32,1,0,51.777629036429715,58.03
18,1.88,7,23,0,0,0,2,0,0,0,0,2,7,17,10,0,12,0,6,0,2,32,0,0,50.1971493146231,57.91
20,1.6122448979591837,5,24,1,0,0,6,0,0,1,0,1,4,15,4,0,11,0,6,0,9,32,1,0,51.577104093246014,57.8
18,1.7857142857142858,8,22,0,0,0,2,0,0,0,0,2,6,18,10,0,13,0,5,0,2,32,0,0,49.993463484011606,57.79
19,1.8,9,21,0,0,0,2,0,0,0,0,0,7,19,10,0,14,0,4,0,2,32,0,0,50.001655328485846,57.79
20,1.696078431372549,3,26,1,0,0,11,0,0,0,0,1,5,15,6,0,10,0,4,0,10,32,1,0,51.47710543322441,57.72
18,1.625,5,24,1,0,0,8,0,0,0,0,1,4,15,4,0,11,0,6,0,9,32,1,0,51.35704277180547,57.71
18,1.8,9,21,0,0,0,2,0,0,0,0,0,7,19,10,0,14,0,4,0,2,32,0,0,49.87850506069608,57.61
17,1.9836065573770492,9,21,0,0,0,2,0,0,2,0,0,4,19,10,0,16,0,2,0,2,32,0,0,48.88622135243015,57.61
20,1.6233766233766234,10,19,1,0,0,5,0,0,1,0,1,1,19,4,1,4,4,5,5,7,3,1,0,51.34860506738979,57.55
18,1.8428571428571427,8,22,0,0,0,2,0,0,0,0,2,6,18,10,0,13,0,5,0,2,32,0,0,49.885146072867364,57.47
19,1.6090225563909775,4,26,0,0,0,2,0,0,8,0,1,2,8,0,8,5,4,5,0,8,0,1,0,54.75959883578822,57.27
19,1.6041666666666667,5,24,1,0,0,7,0,0,0,0,1,4,15,4,0,11,0,6,0,9,32,1,0,51.663376997440636,57.26
19,1.8428571428571427,8,22,0,0,0,2,0,0,0,0,2,6,18,10,0,13,0,5,0,2,32,0,0,49.85463719300254,57.24
18,1.7761194029850746,9,21,0,0,0,2,0,0,0,0,2,6,18,10,0,13,0,5,0,2,32,0,0,49.97571955533943,57.18
18,1.7228915662650603,6,23,1,0,0,6,0,0,0,0,0,4,16,6,0,10,0,6,0,8,32,0,0,50.307193418773984,57.16
19,1.6304347826086956,5,24,1,0,0,8,0,0,0,0,1,4,14,4,0,12,0,6,0,8,32,1,0,51.37095223891785,57.15
18,1.7857142857142858,8,22,0,0,0,2,0,0,0,0,2,6,18,10,0,13,0,5,0,2,32,0,0,50.116613751801374,57.14
18,1.4566929133858268,4,26,0,0,0,2,0,0,6,0,1,2,12,0,7,8,4,3,0,8,0,1,0,53.46108305478997,57.05
19,1.8615384615384616,9,21,0,0,0,2,0,0,0,0,2,5,19,10,0,14,0,4,0,2,32,0,0,49.381495576586566,56.91
19,1.625,5,24,1,0,0,8,0,0,0,0,1,5,13,4,0,13,0,6,0,7,32,1,0,50.94586977677006,56.89
19,1.6145833333333333,5,24,1,0,0,8,0,0,0,0,1,4,15,4,0,11,0,6,0,9,32,1,0,51.62107281664682,56.88
18,1.6705882352941177,8,21,1,0,0,4,0,0,8,0,1,2,16,4,4,2,4,6,4,6,1,1,0,52.207640612331005,56.87
17,2.2333333333333334,17,12,0,1,0,2,0,0,0,0,0,0,27,5,10,10,4,0,1,0,0,0,0,45.79790751219275,56.82
18,1.8266666666666667,7,23,0,0,0,2,0,0,0,0,2,6,17,10,0,12,0,6,0,2,32,0,0,49.81166010286283,56.76
18,1.7733333333333334,7,23,0,0,0,2,0,0,0,0,2,6,17,10,0,12,0,6,0,2,32,0,0,50.073636661661666,56.67
19,1.7820512820512822,8,22,0,0,0,2,0,0,1,0,2,4,18,8,0,13,0,7,0,2,32,0,0,49.5831513717064,56.66
18,1.5729166666666667,10,19,1,0,0,4,0,0,1,0,1,2,20,2,4,2,5,3,4,10,0,1,0,51.78870486608667,56.62
19,1.9230769230769231,9,21,0,0,0,2,0,0,0,0,2,7,19,10,0,14,0,4,0,2,32,0,0,49.59655407969996,56.62
19,2.0869565217391304,7,23,0,0,0,3,0,0,0,0,2,7,17,11,0,13,0,4,0,2,32,0,0,49.57259610204862,56.53
17,1.7638888888888888,8,22,0,0,0,2,0,0,0,0,2,6,17,10,0,12,0,6,0,2,32,0,0,50.24859677474203,56.5
20,1.6025641025641026,10,19,1,0,0,5,0,0,1,0,1,1,18,4,1,4,4,5,5,7,3,1,0,51.24107251749461,56.45
19,1.8615384615384616,9,21,0,0,0,2,0,0,0,0,2,6,19,10,0,14,0,4,0,2,32,0,0,49.77446401535248,56.45
20,1.6627906976744187,5,24,1,0,0,9,0,0,0,0,1,4,14,5,0,12,0,6,0,7,32,1,0,50.890890796245834,56.43
19,1.62,5,24,1,0,0,9,0,0,0,0,1,4,16,4,0,9,0,8,0,9,32,1,0,51.641107532404014,56.38
19,1.6020408163265305,5,24,1,0,0,8,0,0,0,0,1,4,15,4,0,10,0,7,0,9,32,1,0,51.696338325704694,56.36
18,1.8,7,23,0,0,0,2,0,0,0,0,2,6,16,10,0,12,0,6,0,2,32,0,0,49.872095231162966,56.25
19,1.7126436781609196,6,23,1,0,0,10,0,0,0,0,1,4,17,5,0,10,0,7,0,8,32,1,0,50.50858604544557,56.2
20,1.8656716417910448,9,21,0,0,0,2,1,0,0,0,2,5,19,9,0,15,0,4,0,2,32,0,0,49.518391538210686,56.13
19,1.9152542372881356,11,19,0,0,0,2,0,0,0,0,1,4,21,9,0,17,0,2,0,2,32,0,0,49.06452992263912,56.13
18,1.5981308411214954,6,24,0,0,0,2,0,0,5,0,1,2,8,0,9,6,5,4,0,6,0,1,0,53.32233312756145,56.1
19,1.608695652173913,5,24,1,0,0,7,0,0,0,0,1,4,15,4,0,12,0,6,0,8,32,1,0,51.26234433002071,56.1
19,1.595959595959596,4,25,1,0,0,8,0,0,0,0,1,5,14,4,0,12,0,5,0,9,32,1,0,51.766195151166045,56.06
17,1.7857142857142858,8,22,0,0,0,2,0,0,0,0,2,6,18,10,0,13,0,5,0,2,32,0,0,50.1471226316662,56.04
18,1.6324786324786325,6,24,0,0,0,2,0,0,7,0,2,2,9,0,9,4,4,4,1,8,0,1,0,54.30633678831545,55.96
19,1.608695652173913,5,24,1,0,0,7,0,0,0,0,1,4,15,4,0,12,0,6,0,8,32,1,0,51.4170048449839,55.94
19,1.6785714285714286,5,24,1,0,0,6,0,0,0,0,1,4,15,6,0,11,0,6,0,7,32,1,0,50.722674348408994,55.94
19,1.7317073170731707,6,24,0,0,0,4,0,0,0,0,3,6,15,12,0,9,0,6,0,3,32,1,0,48.989853592312734,55.92
19,1.6,2,27,1,0,0,16,0,0,0,0,1,0,9,3,4,5,6,3,3,6,1,1,0,51.83064870740643,55.89
18,1.838235294117647,8,22,0,0,0,2,0,0,0,0,2,6,18,10,0,14,0,4,0,2,32,0,0,50.24259379184522,55.87
19,1.6122448979591837,5,24,1,0,0,8,0,0,0,0,1,4,16,4,0,10,0,7,0,9,32,1,0,51.54733421625724,55.83
19,1.5858585858585859,4,25,1,0,0,7,0,0,0,0,1,5,14,4,0,12,0,5,0,9,32,1,0,51.80849933195986,55.75
20,1.6224489795918366,5,24,1,0,0,7,0,0,0,0,1,4,15,4,0,10,0,7,0,9,32,1,0,51.75981506655243,55.74
20,1.5869565217391304,5,24,1,0,0,7,0,0,0,0,1,5,15,4,0,12,0,6,0,8,32,1,0,51.24204296056508,55.71
20,1.625,5,24,1,0,0,8,0,0,0,0,1,4,14,4,0,11,0,6,0,9,32,1,0,51.4626638764114,55.7
18,1.6161616161616161,4,25,1,0,0,8,0,0,0,0,1,4,14,4,0,12,0,5,0,9,32,1,0,51.941157035584865,55.67
18,1.6578947368421053,6,24,0,0,0,2,0,0,6,0,2,2,9,0,9,4,4,4,1,8,0,1,0,53.8939968954876,55.66
20,1.576086956521739,5,24,1,0,0,6,0,0,0,0,1,5,15,4,0,12,0,6,0,8,32,1,0,51.28434714135889,55.62
20,1.7733333333333334,9,21,0,0,0,2,0,0,0,0,2,5,20,8,0,14,0,5,0,3,32,0,0,49.779701343413905,55.61
21,1.52,5,24,1,0,0,3,0,0,1,0,1,5,18,4,0,12,0,4,0,10,31,1,0,51.13777392486369,55.6
19,1.5901639344262295,6,24,0,0,0,2,0,0,6,0,2,4,12,0,8,4,4,4,1,9,0,1,0,55.101526057523984,55.5
18,1.8615384615384616,9,21,0,0,0,2,0,0,0,0,2,5,19,10,0,14,0,4,0,2,32,0,0,49.4120044564514,55.49
19,1.584070796460177,6,24,0,0,0,2,0,0,6,0,1,4,11,0,9,6,4,2,1,8,0,1,0,54.77973235546782,55.44
19,1.584,6,24,0,0,0,2,0,0,6,0,2,4,12,0,7,4,4,5,1,9,0,1,0,54.97512092391931,55.37
19,1.578512396694215,6,24,0,0,0,2,0,0,6,0,2,4,11,0,7,4,4,5,2,8,0,1,0,55.11304382751765,55.31
16,2.0377358490566038,6,23,0,1,2,2,2,2,2,20,2,4,8,6,10,9,4,0,1,0,0,0,0,47.573755833700496,55.3
19,1.6341463414634145,5,25,0,0,0,2,0,0,6,0,2,2,8,0,9,4,4,4,1,8,0,1,0,54.73053286260441,55.26
18,1.537190082644628,6,24,0,0,0,2,0,0,6,0,1,4,12,0,6,6,4,6,0,8,0,1,0,54.56838167573216,55.26
18,1.5851851851851853,5,25,0,0,0,2,0,0,8,0,1,2,7,0,7,4,4,4,2,9,0,1,0,54.6716631630102,55.25
20,1.5063291139240507,10,19,1,0,0,4,0,0,1,0,1,1,20,4,1,4,4,5,5,7,3,1,0,51.583151651986135,55.24
18,1.6126126126126126,6,24,0,0,0,2,0,0,7,0,1,4,10,0,9,6,4,3,0,8,0,1,0,54.615263750700784,55.24
17,1.7532467532467533,7,23,0,0,0,2,0,0,0,0,2,6,16,10,0,11,0,7,0,2,32,0,0,50.17511080473751,55.21
21,1.5411764705882354,10,19,1,0,0,3,0,0,2,0,1,1,20,4,1,4,4,3,5,9,3,1,0,51.749187774193594,55.15
18,1.6134453781512605,6,24,0,0,0,2,0,0,6,0,2,2,10,0,9,4,4,3,1,9,0,1,0,54.59153921588163,55.1
20,1.5670103092783505,11,19,0,0,0,2,0,0,1,0,1,3,20,2,3,5,4,5,2,9,3,1,0,50.75333437537881,55.1
19,1.7733333333333334,9,21,0,0,0,2,0,0,1,0,2,4,18,8,0,13,0,7,0,2,32,0,0,49.565407443034225,55.07
17,1.9,8,22,0,0,0,2,0,0,0,0,2,6,18,10,0,13,0,5,0,2,32,0,0,49.623169514068536,55.07
18,1.584070796460177,6,24,0,0,0,2,0,0,6,0,1,4,10,0,8,8,4,2,0,8,0,1,0,54.557267277160875,55.07
18,1.6090909090909091,7,23,0,0,0,2,0,0,6,0,1,3,10,0,9,5,4,2,0,10,0,1,0,54.538304074392975,55.06
18,1.6041666666666667,5,24,1,0,0,8,0,0,0,0,1,4,15,4,0,11,0,6,0,9,32,1,0,51.56026082876411,55.06
20,1.5609756097560976,6,24,0,0,0,2,0,0,6,0,1,2,9,0,9,4,4,2,1,10,0,1,0,54.229007476935394,55.03
19,1.5952380952380953,6,24,0,0,0,2,0,0,7,0,2,4,12,0,8,4,4,3,1,10,0,1,0,55.182539022309946,54.97
19,1.6170212765957446,5,24,1,0,0,7,0,0,0,0,1,4,15,4,0,12,0,5,0,9,32,1,0,51.54315935818493,54.88
21,1.564102564102564,10,19,1,0,0,5,0,0,1,0,1,1,18,4,1,5,3,5,5,7,3,1,0,51.48440833478684,54.87
20,1.5408163265306123,5,24,1,0,0,4,0,0,0,0,2,6,15,3,0,12,0,6,0,9,32,1,0,51.236256345628,54.86
18,1.6324786324786325,6,24,0,0,0,2,0,0,6,0,2,2,9,0,9,4,4,4,1,8,0,1,0,54.18837724140757,54.83
17,2.121212121212121,17,12,0,1,0,2,0,0,0,0,0,1,27,4,10,10,5,0,1,0,0,0,0,45.84891519949445,54.81
20,1.627906976744186,5,24,1,0,0,7,0,0,0,0,1,5,13,4,0,13,0,7,0,6,32,1,0,50.58876040836205,54.8
19,1.575,14,16,0,0,0,2,0,0,2,0,1,0,18,1,11,6,2,1,2,7,0,1,0,49.69356710239301,54.78
