unique_cards,stats_cost_ratio,spell,minion,hero,weapon,pirate,elemental,demon,totem,dragon,murloc,mechanical,beast,class_card,cost_1_or_less,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7_or_more,no_of_high_rules,no_of_medium_rule,no_of_low_rule,average_card_winrate
17,1.5066666666666666,5,21,0,4,0,2,0,0,0,0,0,3,12,12,0,7,0,5,0,6,55,1,0,48.936358177336494,62.54
17,1.4788732394366197,5,21,0,4,0,2,0,0,0,0,0,3,12,12,0,8,0,5,0,5,55,1,0,48.83162874623442,62.44
17,1.4931506849315068,5,21,0,4,0,2,0,0,0,0,0,3,12,12,0,7,0,6,0,5,55,1,0,49.16450906321488,62.34
18,1.608695652173913,5,21,0,4,0,2,0,0,0,0,0,1,12,12,0,8,0,6,0,4,55,1,0,49.022196010691154,62.33
18,1.536231884057971,5,21,0,4,0,2,0,0,0,0,0,2,12,12,0,8,0,6,0,4,55,1,0,49.04098782140199,62.19
17,1.486842105263158,4,22,0,4,0,2,0,0,0,0,0,3,11,12,0,7,0,6,0,5,55,1,0,49.1345595180413,62.16
17,1.472972972972973,4,22,0,4,0,2,1,0,0,0,0,3,10,12,0,8,0,5,0,5,55,1,0,49.41027428154317,61.97
18,1.4666666666666666,5,21,0,4,0,2,0,0,0,0,0,3,12,11,0,8,0,6,0,5,55,1,0,48.979603474095796,61.87
17,1.5352112676056338,5,21,0,4,0,2,1,0,0,0,2,3,13,12,0,8,0,5,0,5,55,1,0,49.472963199877526,61.78
18,1.5125,5,22,0,3,0,2,0,0,0,0,0,3,11,12,0,7,0,6,0,5,55,1,0,49.207676876169536,61.44
18,1.5060240963855422,4,23,0,3,0,2,0,0,0,0,0,3,10,12,0,7,0,6,0,5,55,1,0,49.17772733099595,61.23
17,1.5125,4,22,0,4,0,2,0,0,0,0,0,3,11,12,0,6,0,6,0,6,55,1,0,49.239288949143365,60.74
16,1.6029411764705883,6,20,0,4,0,2,0,0,0,0,0,1,12,12,0,8,0,5,0,5,55,1,0,49.41966847599433,60.7
16,1.4714285714285715,6,20,0,4,0,2,0,0,0,0,0,3,12,12,0,8,0,4,0,6,55,1,0,49.2291012115376,60.7
18,1.5942028985507246,5,21,0,4,0,2,0,0,0,0,0,2,12,12,0,8,0,6,0,4,55,1,0,48.84270055058776,60.38
18,1.4776119402985075,5,21,0,4,0,2,0,0,0,0,0,3,11,12,0,9,0,5,0,4,55,1,0,49.12428585032611,60.35
20,1.7428571428571429,9,18,0,3,0,0,0,0,0,2,0,0,19,0,8,0,13,0,7,2,0,0,0,47.53844780635207,60.35
17,1.4266666666666667,5,21,0,4,0,2,1,0,0,0,0,3,11,10,0,10,0,5,0,5,55,1,0,49.07041264847858,60.09
16,1.4558823529411764,6,20,0,4,0,2,0,0,0,0,0,3,12,12,0,8,0,5,0,5,55,1,0,49.45725209741599,60.0
18,1.48,5,21,0,4,0,2,0,0,0,0,0,3,12,11,0,8,0,6,0,5,55,1,0,49.18653615506135,59.91
18,1.5070422535211268,5,21,0,4,0,2,0,0,0,0,0,3,11,12,0,8,0,5,0,5,55,1,0,49.229015281428175,59.69
18,1.5820895522388059,5,21,0,4,0,2,0,0,0,0,0,3,11,12,0,9,0,5,0,4,55,1,0,49.20164816928805,59.66
18,1.4657534246575343,5,21,0,4,0,2,0,0,0,0,2,4,13,11,0,9,0,5,0,5,55,1,0,49.095640876180695,59.65
17,1.5294117647058822,6,20,0,4,0,2,0,0,0,0,0,2,12,12,0,8,0,5,0,5,55,1,0,49.438460286705165,59.58
