unique_cards,stats_cost_ratio,spell,minion,hero,weapon,pirate,elemental,demon,totem,dragon,murloc,mechanical,beast,class_card,cost_1_or_less,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7_or_more,no_of_high_rules,no_of_medium_rule,no_of_low_rule,average_card_winrate
18,2.0208333333333335,20,10,0,0,0,2,0,0,0,0,1,2,22,8,5,2,3,5,0,7,11,3,0,55.735531722999774,64.42
17,1.75,11,18,1,0,0,0,0,0,10,0,0,2,16,5,10,0,6,2,0,7,7,3,0,52.83009689116029,62.61
19,1.6666666666666667,13,17,0,0,0,2,0,0,7,0,0,0,23,6,6,6,6,0,2,4,7,3,0,53.16744084622098,61.14
20,2.0166666666666666,18,12,0,0,0,2,0,0,0,0,1,2,20,6,5,2,5,4,0,8,11,3,0,56.058474455429625,59.96
19,1.8275862068965518,24,6,0,0,0,2,0,0,1,0,1,0,27,4,9,1,4,3,2,7,11,3,0,56.70200198833042,59.77
19,1.670731707317073,11,18,1,0,0,0,0,0,9,0,0,2,19,4,6,3,6,1,2,8,11,3,0,53.79215741634305,59.65
18,1.7307692307692308,10,19,1,0,0,2,0,0,7,0,0,1,20,4,6,5,5,1,3,6,11,3,0,53.799472963805115,59.64
17,1.68,10,19,1,0,0,0,0,0,7,0,0,0,19,4,9,4,4,1,2,6,11,3,0,52.844595465620905,59.49
19,2.0,22,8,0,0,0,2,0,0,1,0,1,1,25,4,9,0,3,4,2,8,11,3,0,57.15925152971881,59.42
19,2.0,22,7,1,0,0,2,0,0,1,0,1,1,26,4,9,0,3,4,2,8,11,3,0,57.17301340944788,59.31
19,2.0208333333333335,20,10,0,0,0,2,0,0,0,0,1,2,22,7,5,2,4,5,0,7,11,3,0,55.14732417830582,59.29
19,2.0166666666666666,18,12,0,0,0,2,0,0,0,0,1,2,20,6,5,2,4,5,0,8,11,3,0,55.794500582016255,59.27
19,2.1176470588235294,20,10,0,0,0,2,0,0,0,0,0,2,22,6,5,3,4,4,0,8,11,3,0,55.40230912276045,59.18
17,1.7073170731707317,10,19,1,0,0,1,0,0,8,0,0,2,19,4,6,3,6,0,4,7,7,3,0,54.41255349457917,59.16
19,2.0,22,7,1,0,0,2,0,0,1,0,1,1,26,4,8,1,3,4,2,8,11,3,0,57.75727684447016,59.02
19,1.864864864864865,23,7,0,0,0,2,0,0,1,0,1,0,26,4,8,2,3,3,2,8,11,3,0,57.56556104777828,59.0
18,1.6944444444444444,11,18,1,0,0,0,0,0,7,0,0,0,20,5,9,3,5,0,2,6,7,3,0,52.72097010496204,58.88
19,1.864864864864865,22,7,1,0,0,2,0,0,1,0,1,0,26,4,8,1,3,3,2,9,11,3,0,57.98882837695608,58.85
18,1.705128205128205,10,19,1,0,0,1,0,0,7,0,0,2,19,4,6,4,6,0,4,6,7,3,0,54.09783000668226,58.84
20,1.92,19,10,1,0,0,3,0,0,1,0,1,1,25,4,8,1,3,5,0,9,11,3,0,57.080870391244595,58.8
18,1.7,10,19,1,0,0,0,0,0,8,0,0,2,19,4,6,3,6,1,4,6,7,3,0,53.76430629846856,58.78
19,1.864864864864865,22,7,1,0,0,2,0,0,1,0,1,0,26,4,8,0,4,3,2,9,11,3,0,57.45470751004389,58.72
18,2.017857142857143,19,11,0,0,0,2,0,0,0,0,1,2,21,7,4,2,4,5,0,8,11,3,0,56.0538110554344,58.67
19,1.8333333333333333,21,8,1,0,0,3,0,0,1,0,1,0,26,4,8,0,3,4,2,9,11,3,0,57.528311585412084,58.63
19,1.864864864864865,23,7,0,0,0,2,0,0,1,0,1,0,26,4,9,1,3,3,2,8,11,3,0,57.64562830469133,58.62
19,1.8275862068965518,23,6,1,0,0,2,0,0,1,0,1,0,27,4,9,0,4,3,2,8,11,3,0,57.12526931750822,58.59
19,1.9824561403508771,19,11,0,0,0,2,0,0,1,0,1,2,21,6,5,2,4,5,0,8,11,3,0,55.36325970945511,58.55
16,1.6883116883116882,10,19,1,0,0,0,0,0,7,0,0,2,19,4,6,4,6,0,4,6,7,3,0,53.82112318031428,58.54
19,1.967741935483871,18,12,0,0,0,2,0,0,0,0,1,2,21,6,4,2,4,5,1,8,11,3,0,55.56055812094666,58.48
19,1.8275862068965518,23,6,1,0,0,2,0,0,1,0,1,0,27,4,8,1,4,3,2,8,11,3,0,57.04520206059517,58.42
18,1.6823529411764706,9,20,1,0,0,2,0,0,8,0,0,1,18,4,6,5,5,0,3,7,7,3,0,54.19683503764952,58.41
20,2.0166666666666666,18,12,0,0,0,2,0,0,0,0,1,2,20,5,5,2,5,5,0,8,11,3,0,55.73905589498169,58.31
18,1.7176470588235293,9,20,1,0,0,2,0,0,8,0,0,1,19,4,6,5,5,0,3,7,7,3,0,54.167775229162,58.3
19,1.6666666666666667,9,20,1,0,0,1,0,0,8,0,1,1,19,4,6,4,5,1,3,7,7,3,0,54.08522789216651,58.11
17,1.6829268292682926,10,19,1,0,0,0,0,0,8,0,0,2,19,4,6,3,6,0,4,7,7,3,0,54.09049635037563,58.06
