unique_cards,stats_cost_ratio,spell,minion,hero,weapon,pirate,elemental,demon,totem,dragon,murloc,mechanical,beast,class_card,cost_1_or_less,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7_or_more,no_of_high_rules,no_of_medium_rule,no_of_low_rule,average_card_winrate
18,1.7727272727272727,4,25,1,0,0,0,0,0,0,18,0,1,11,8,9,4,4,2,0,3,33,0,1,52.57685644135801,60.61
15,1.9,8,20,0,2,0,0,0,0,0,18,0,2,14,10,10,6,2,2,0,0,33,0,0,52.70768795046178,59.38
16,1.9056603773584906,4,26,0,0,0,0,0,0,0,24,0,2,11,9,12,4,3,2,0,0,33,0,0,52.56448585018775,58.89
18,1.9615384615384615,7,22,0,1,2,3,2,2,2,21,2,2,15,9,11,5,4,1,0,0,33,0,0,50.85918079394116,58.77
16,1.901639344262295,4,26,0,0,2,2,2,2,2,25,2,2,12,8,10,6,3,2,0,1,33,0,0,52.74991654474767,58.72
15,2.0476190476190474,12,16,0,2,0,4,0,0,0,10,0,0,22,12,6,2,4,4,2,0,33,0,0,51.472077532910504,58.37
19,1.6428571428571428,4,25,1,0,0,8,0,1,0,0,0,5,14,0,12,0,8,0,4,6,0,0,2,48.113806048304774,58.32
16,1.9,4,25,1,0,2,2,2,2,2,21,2,4,12,6,10,6,5,2,0,1,33,0,1,51.71518082584875,57.96
18,1.9491525423728813,2,27,1,0,2,2,2,2,2,22,2,4,10,8,11,5,4,1,0,1,33,0,1,51.003290620862614,57.92
16,1.8076923076923077,5,24,1,0,0,0,0,0,0,20,0,2,10,8,10,4,4,2,0,2,33,0,1,52.809951771491406,57.91
16,1.912280701754386,4,26,0,0,2,2,2,2,2,24,2,4,11,7,12,6,3,2,0,0,33,0,0,52.266006973583856,57.78
16,1.9090909090909092,7,21,0,2,0,0,0,0,0,19,0,2,14,10,10,6,3,1,0,0,33,0,0,52.03996638330831,57.74
16,1.9166666666666667,7,21,0,2,0,0,0,0,0,17,0,0,14,10,8,5,5,2,0,0,33,0,0,52.58388127012504,57.68
17,2.116279069767442,7,20,1,2,2,4,2,2,2,18,2,2,17,11,9,6,2,1,0,1,33,0,1,51.284703617089214,57.5
15,1.9259259259259258,4,26,0,0,2,2,2,2,2,24,2,4,10,8,12,6,2,2,0,0,33,0,0,52.28526305737221,57.25
16,1.9803921568627452,4,25,1,0,2,2,2,2,2,25,2,2,11,9,10,6,2,2,0,1,33,0,1,52.498904264659544,57.2
17,1.6666666666666667,13,15,0,2,0,5,0,0,0,2,1,0,23,8,4,3,4,4,4,3,3,0,0,48.5225274635028,57.05
16,1.9464285714285714,4,26,0,0,2,2,2,2,2,25,2,3,11,8,11,6,3,2,0,0,33,0,0,52.491289767779186,56.85
16,1.962962962962963,4,25,1,0,2,2,2,2,2,25,2,2,12,8,10,6,3,2,0,1,33,0,1,52.55889267975278,56.83
16,1.981818181818182,4,26,0,0,2,2,2,2,2,26,2,2,11,9,10,6,3,2,0,0,33,0,0,52.67695031253371,56.83
19,1.828125,8,21,1,0,0,2,0,0,0,16,0,0,18,6,7,6,3,4,0,4,33,0,2,51.453110784794326,56.82
16,1.9322033898305084,4,26,0,0,2,2,2,2,2,25,2,2,11,8,10,6,3,3,0,0,33,0,0,52.78853867626335,56.49
17,1.962962962962963,4,25,1,0,2,2,2,2,2,25,2,2,12,8,10,6,3,2,0,1,33,0,1,52.51927043031198,56.45
17,1.9090909090909092,6,21,1,2,0,0,0,0,0,19,0,2,14,10,10,5,3,1,0,1,33,0,1,51.974370590002,56.42
17,1.7901234567901234,2,28,0,0,2,2,2,4,2,23,2,2,11,8,7,8,2,2,0,3,33,0,0,52.370344632161725,56.41
18,1.8105263157894738,5,24,1,0,0,22,0,0,0,0,0,0,17,4,7,4,5,2,3,5,0,0,2,49.40038705765466,56.21
17,2.0208333333333335,7,21,0,2,0,2,0,0,0,18,0,0,18,12,8,4,5,1,0,0,33,0,0,51.263509544760765,56.19
16,1.9811320754716981,4,26,0,0,1,1,1,1,1,26,1,1,11,10,10,5,3,2,0,0,33,0,0,52.82618975083566,56.17
15,2.0,4,26,0,0,2,2,2,2,2,26,2,2,10,10,10,6,2,2,0,0,33,0,0,52.65658414688128,56.14
16,1.981818181818182,4,26,0,0,2,2,2,2,2,26,2,2,11,9,10,6,3,2,0,0,33,0,0,52.637328063092916,55.96
15,1.92,4,26,0,0,0,0,0,0,0,24,0,2,10,10,12,4,2,2,0,0,33,0,0,52.58374193397611,55.95
17,1.8,13,13,0,4,0,4,0,0,0,2,0,2,25,11,9,6,2,2,0,0,1,0,0,47.75842222217884,55.9
18,1.8181818181818181,4,25,1,0,0,22,0,0,0,0,0,0,16,4,6,4,5,3,3,5,0,0,2,49.1389699166001,55.85
19,1.6637931034482758,4,25,1,0,0,8,0,0,0,0,0,5,13,0,11,0,8,0,5,6,0,0,2,48.370557334862355,55.81
17,1.5643564356435644,4,25,1,0,2,9,2,4,8,2,2,5,12,6,6,4,4,2,1,7,0,0,1,47.71785919305585,55.68
18,1.6612903225806452,13,14,1,2,0,8,0,1,0,2,1,0,28,6,7,3,4,4,2,4,1,0,2,47.7023041634878,55.66
19,1.6491228070175439,4,25,1,0,0,8,0,0,0,0,0,5,13,0,11,0,9,0,4,6,0,0,2,48.16638935900749,55.59
17,1.9137931034482758,4,23,1,2,0,2,0,0,0,15,0,2,15,12,6,6,3,1,0,2,31,0,1,50.54293540382888,55.59
18,1.893939393939394,1,28,1,0,2,2,2,2,2,22,2,4,10,8,11,5,4,0,0,2,31,0,1,50.38816912027067,55.5
15,1.9583333333333333,6,22,0,2,0,0,0,0,0,18,0,2,14,10,12,4,0,2,2,0,33,0,0,51.74749923344838,55.47
