unique_cards,stats_cost_ratio,spell,minion,hero,weapon,pirate,elemental,demon,totem,dragon,murloc,mechanical,beast,class_card,cost_1_or_less,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7_or_more,no_of_high_rules,no_of_medium_rule,no_of_low_rule,average_card_winrate
17,2.1587301587301586,3,27,0,0,1,0,4,0,0,0,2,2,10,17,8,2,0,0,0,3,0,0,0,48.670543570225064,65.3
17,2.1587301587301586,3,27,0,0,0,0,4,0,0,0,2,3,10,17,8,2,0,0,0,3,0,0,0,48.64377940177569,65.28
16,2.1746031746031744,3,27,0,0,0,0,4,0,0,0,2,2,10,17,8,2,0,0,0,3,0,0,0,48.767046415531716,65.27
17,2.142857142857143,3,27,0,0,1,0,4,0,0,0,2,2,10,17,8,2,0,0,0,3,0,0,0,48.7060966151554,65.23
17,2.08955223880597,3,27,0,0,0,0,4,0,0,0,2,2,10,16,8,2,0,1,0,3,0,0,0,49.22690628386423,65.12
17,2.0588235294117645,3,27,0,0,0,0,4,0,0,0,2,2,10,15,9,2,0,1,0,3,0,0,0,49.08235024878732,64.91
17,2.1451612903225805,4,26,0,0,0,0,4,0,0,0,2,2,11,17,8,2,0,0,0,3,0,0,0,48.68069590419888,64.89
17,2.0606060606060606,3,27,0,0,0,0,4,0,0,0,2,2,11,16,8,2,1,0,0,3,0,0,0,48.678643875719125,64.75
17,2.1044776119402986,3,27,0,0,0,0,4,0,0,0,2,2,10,16,8,2,0,1,0,3,0,0,0,49.19135323893389,64.73
17,2.0923076923076924,3,27,0,0,0,0,4,0,0,0,2,2,10,16,8,3,0,0,0,3,0,0,0,48.73461226094836,64.61
16,1.8235294117647058,5,25,0,0,0,0,4,0,0,0,2,4,12,13,10,2,2,0,1,2,0,0,0,48.205348424720775,64.58
18,2.1333333333333333,3,27,0,0,0,0,4,0,0,0,2,2,10,16,8,3,0,1,0,2,0,0,0,49.0063353150143,64.43
16,2.1746031746031744,3,27,0,0,0,0,4,0,0,0,2,2,10,17,8,2,0,0,0,3,0,0,0,48.78681843548449,64.35
17,2.15625,3,27,0,0,0,0,4,0,0,0,2,2,10,16,9,2,0,0,0,3,0,0,0,48.58693733552446,64.31
16,2.142857142857143,3,27,0,0,2,0,4,0,0,0,2,2,10,17,8,2,0,0,0,3,0,0,0,48.574040724918405,64.3
16,2.1147540983606556,5,25,0,0,0,0,4,0,0,0,2,2,12,17,8,2,0,0,0,3,0,0,0,48.59434539286603,64.22
17,2.0757575757575757,3,27,0,0,0,0,4,0,0,0,2,2,11,16,8,2,1,0,0,3,0,0,0,48.643090830788786,64.21
16,2.111111111111111,3,27,0,0,2,0,4,0,0,0,2,2,10,17,8,2,0,0,0,3,0,0,0,48.100780568366694,64.0
16,2.0793650793650795,3,27,0,0,0,0,6,0,0,0,2,2,12,17,8,2,0,0,0,3,0,0,0,48.279253840111565,63.96
17,1.9444444444444444,5,25,0,0,0,0,4,0,0,0,2,3,12,13,9,2,2,1,0,3,0,0,0,48.879620400090175,63.86
16,2.111111111111111,3,27,0,0,2,0,4,0,0,0,2,2,10,17,8,2,0,0,0,3,0,0,0,48.64514681477908,63.63
17,2.0597014925373136,3,27,0,0,1,0,4,0,0,0,2,2,10,16,8,2,0,1,0,3,0,0,0,49.16595648348792,63.38
17,1.9577464788732395,5,25,0,0,0,0,4,0,0,0,2,6,12,14,8,2,2,1,0,3,0,0,0,48.42290271334586,62.56
18,2.0303030303030303,5,25,0,0,0,0,4,0,0,0,2,2,12,15,9,2,0,1,0,3,0,0,0,48.907373554296655,62.05
17,2.1363636363636362,3,27,0,0,0,0,4,0,0,0,2,2,10,16,8,2,1,0,0,3,0,0,0,48.556782642444645,61.79
16,2.6097560975609757,5,25,0,0,0,0,4,0,0,0,2,2,12,21,6,2,0,0,0,1,0,0,0,48.04322428255683,61.46
17,1.9344262295081966,5,25,0,0,0,0,4,0,0,0,7,2,12,14,8,2,2,3,0,1,0,0,0,47.17855210769908,61.43
17,2.2241379310344827,3,27,0,0,0,0,4,0,0,0,2,2,10,17,8,2,0,1,0,2,0,0,0,49.03876946959766,61.37
16,2.1323529411764706,2,28,0,0,0,0,4,0,0,0,2,2,9,16,8,2,0,1,0,3,0,0,0,49.29747577021951,61.3
17,2.369565217391304,5,25,0,0,0,0,4,0,0,0,2,1,12,19,7,2,0,1,0,1,0,0,0,48.687597535229,60.98
16,1.8987341772151898,2,28,0,0,0,2,7,0,0,0,0,2,11,12,1,6,6,5,0,0,0,0,0,48.8234996535627,60.59
17,2.25,5,25,0,0,0,0,4,0,0,0,2,2,12,17,9,2,0,1,0,1,0,0,0,48.60448168744915,60.56
18,1.88,6,23,1,0,0,2,5,0,2,0,0,2,12,0,11,0,12,0,3,4,0,0,0,49.1904824459103,60.56
16,1.8875,2,28,0,0,0,0,10,0,0,0,0,2,14,12,1,6,5,6,0,0,0,0,0,48.471079566266944,60.13
