unique_cards,stats_cost_ratio,spell,minion,hero,weapon,pirate,elemental,demon,totem,dragon,murloc,mechanical,beast,class_card,cost_1_or_less,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7_or_more,no_of_high_rules,no_of_medium_rule,no_of_low_rule,average_card_winrate
19,1.8571428571428572,15,11,1,3,1,0,0,0,0,0,8,1,27,7,6,5,3,7,0,2,37,34,5,57.07398934886252,65.66
17,1.7349397590361446,9,19,0,2,0,2,0,0,0,0,3,6,17,5,0,12,0,9,0,4,7,9,5,55.64372644734846,63.19
18,1.9344262295081966,12,16,1,1,0,0,0,0,0,0,9,0,25,8,4,2,6,8,0,2,37,34,5,56.967909119680144,62.26
18,1.7142857142857142,9,18,1,2,0,0,0,0,7,0,5,1,20,6,0,8,0,11,0,5,37,33,5,56.17142653177555,61.63
18,1.7532467532467533,9,19,0,2,0,2,0,0,0,0,3,4,17,5,0,13,0,9,0,3,7,9,5,55.817272676136625,61.38
18,1.7160493827160495,10,17,1,2,0,0,0,0,7,0,5,1,20,6,0,8,0,11,0,5,37,33,5,56.2440497354994,61.3
20,1.7951807228915662,2,22,1,5,1,0,0,0,0,0,4,3,23,6,4,4,6,5,1,4,7,3,0,55.61663499119031,61.18
19,1.873015873015873,8,19,1,2,1,0,0,0,0,0,8,2,24,6,6,5,4,7,0,2,37,32,0,57.36402287977249,61.08
18,1.7818181818181817,14,15,1,0,0,0,0,0,0,0,7,0,24,7,7,4,4,6,0,2,37,34,5,56.6964690654561,60.79
19,1.880952380952381,15,11,1,3,0,0,0,0,0,0,8,1,27,7,6,5,3,7,0,2,37,34,5,57.01535134475016,60.74
18,1.63013698630137,9,19,0,2,0,2,0,0,0,0,3,5,15,3,0,17,0,9,0,1,7,9,5,55.53666460549049,60.52
19,1.875,16,13,1,0,0,0,0,0,0,0,8,0,22,5,8,3,6,6,0,2,37,34,5,56.201590771627004,60.39
18,1.7901234567901234,9,19,0,2,0,2,0,0,0,0,3,7,16,4,0,13,0,10,0,3,7,9,5,55.2626914766817,60.31
17,1.9444444444444444,13,14,1,2,0,0,0,0,0,0,9,2,25,6,5,6,4,7,0,2,37,34,5,57.05806080701637,60.21
18,1.8909090909090909,11,15,1,3,0,0,0,0,0,0,7,2,25,7,3,6,4,8,0,2,37,34,5,57.25343787511012,60.21
19,1.9074074074074074,14,14,1,1,0,0,0,0,0,0,9,0,22,6,7,4,4,7,0,2,37,34,5,56.82463843933081,60.2
19,1.6734693877551021,16,13,1,0,0,1,0,0,0,0,5,0,24,9,8,4,2,4,0,3,37,34,5,56.34739788738701,60.14
18,1.7037037037037037,10,17,1,2,0,0,0,0,7,0,5,1,21,6,0,8,0,10,0,6,37,33,5,56.164665848315295,60.14
18,1.9322033898305084,10,17,1,2,1,0,0,0,0,0,9,2,26,6,4,7,4,7,0,2,37,34,1,57.54286341010833,60.07
18,1.9137931034482758,9,18,1,2,0,0,0,0,0,0,9,2,25,7,6,5,4,6,0,2,37,32,0,57.46608567166988,60.01
18,1.7142857142857142,9,19,0,2,0,2,0,0,0,0,3,6,17,5,0,13,0,9,0,3,7,9,5,55.48444000835433,59.99
19,1.7241379310344827,12,15,1,2,0,1,0,0,0,0,6,0,24,8,4,4,2,9,0,3,37,34,5,57.2115691520736,59.82
18,1.7941176470588236,8,18,1,3,0,0,0,0,0,0,13,1,23,4,4,7,4,7,2,2,37,34,1,57.90529991397125,59.79
17,1.9180327868852458,8,19,1,2,0,0,0,0,0,0,9,2,25,6,6,6,4,6,0,2,37,32,0,57.378656678525275,59.77
19,1.8695652173913044,16,11,1,2,0,0,0,0,0,0,8,1,27,8,6,4,3,6,0,3,37,34,5,57.17604788061926,59.72
18,1.9047619047619047,8,19,1,2,0,0,0,0,0,0,9,2,24,6,6,5,4,7,0,2,37,32,0,57.625697773639565,59.71
18,1.9014084507042253,6,21,1,2,1,0,0,0,0,0,9,2,23,8,2,6,4,8,0,2,37,31,0,58.11563056889707,59.71
18,1.8888888888888888,14,14,1,1,0,0,0,0,0,0,9,0,22,6,7,4,4,7,0,2,37,34,5,56.86115823579336,59.66
18,1.746031746031746,13,14,1,2,0,0,0,0,1,0,7,0,24,7,6,4,2,7,0,4,37,32,3,56.896494170769465,59.63
19,1.746031746031746,15,14,1,0,0,0,0,0,1,0,6,0,24,7,6,4,4,5,0,4,15,18,5,57.13400746439256,59.58
18,1.9206349206349207,8,19,1,2,0,0,0,0,0,0,9,2,24,6,6,5,4,7,0,2,37,32,0,57.54472410918696,59.52
19,1.890625,8,19,1,2,1,0,0,0,0,0,8,2,23,6,6,5,3,8,0,2,37,32,0,57.52231275185074,59.41
17,1.735632183908046,9,19,0,2,0,2,0,0,6,0,1,3,17,3,0,12,0,12,0,3,3,5,5,55.28387040792553,59.38
18,1.9047619047619047,8,19,1,2,0,0,0,0,0,0,9,2,24,6,6,5,4,7,0,2,37,32,0,57.46309015450933,59.37
20,1.6785714285714286,15,13,1,1,0,0,0,0,0,0,7,0,24,6,8,2,3,7,2,2,37,34,5,56.62854182339746,59.35
19,1.6727272727272726,17,12,1,0,0,0,0,0,1,0,4,0,24,7,7,4,2,6,0,4,15,18,5,56.31810306636022,59.35
